"Chr","CO Start","CO End","length"
1,2307257,2307776,519
1,2467326,2470205,2879
1,2467326,2469093,1767
1,2686193,2691818,5625
1,2691875,2693911,2036
1,2691875,2693911,2036
1,2691875,2693911,2036
1,2784234,2790240,6006
1,2784234,2792863,8629
1,2872340,2875997,3657
1,2872340,2875997,3657
1,3000742,3000812,70
1,3000754,3010418,9664
1,3022871,3029139,6268
1,3022871,3029139,6268
1,3027433,3028019,586
1,3079146,3081602,2456
1,3131760,3136209,4449
1,3190712,3197228,6516
1,3192727,3197156,4429
1,3192727,3200233,7506
1,3192727,3196567,3840
1,3197122,3197225,103
1,3197144,3199279,2135
1,3197144,3199279,2135
1,3197225,3199277,2052
1,3197225,3199279,2054
1,3278820,3287139,8319
1,3280221,3282170,1949
1,3404081,3404158,77
1,3438535,3439377,842
1,3439048,3440004,956
1,3699243,3703741,4498
1,3699464,3702520,3056
1,3699464,3703058,3594
1,3699868,3702520,2652
1,3701096,3702520,1424
1,3702520,3703558,1038
1,3703021,3703141,120
1,3703196,3703741,545
1,3708430,3708857,427
1,3708786,3715307,6521
1,3731400,3736107,4707
1,3734702,3741991,7289
1,3734702,3741991,7289
1,3734910,3735236,326
1,3736125,3739861,3736
1,3736758,3742325,5567
1,3878526,3887467,8941
1,3886264,3889317,3053
1,4040233,4042958,2725
1,4055044,4057610,2566
1,4055521,4062718,7197
1,4055521,4056500,979
1,4056065,4057500,1435
1,4056065,4059517,3452
1,4056065,4059517,3452
1,4056065,4059517,3452
1,4056500,4057454,954
1,4057500,4062718,5218
1,4057500,4062718,5218
1,4445279,4452378,7099
1,4445292,4446759,1467
1,4445292,4446791,1499
1,4446791,4451051,4260
1,4446840,4452312,5472
1,4452378,4453412,1034
1,4512268,4519320,7052
1,4512689,4519305,6616
1,4545557,4548912,3355
1,4545557,4547762,2205
1,4545557,4548845,3288
1,4547739,4548642,903
1,4547762,4548117,355
1,4548117,4557453,9336
1,4548117,4548845,728
1,4592961,4602579,9618
1,4598562,4599469,907
1,4601710,4609633,7923
1,4603747,4609477,5730
1,4741870,4747433,5563
1,4741870,4748614,6744
1,4741870,4748614,6744
1,4747433,4752501,5068
1,4748996,4753411,4415
1,4754464,4757229,2765
1,4757056,4764981,7925
1,4764981,4766734,1753
1,4766389,4772203,5814
1,4766734,4772159,5425
1,4994210,4998749,4539
1,4994210,5001052,6842
1,4994210,4998542,4332
1,4996237,5002432,6195
1,4996485,5001941,5456
1,5002029,5003106,1077
1,5002033,5010040,8007
1,5002046,5006761,4715
1,5002432,5012424,9992
1,5002521,5006696,4175
1,5002524,5010452,7928
1,5003081,5006696,3615
1,5003081,5010438,7357
1,5003106,5010040,6934
1,5006761,5014193,7432
1,5007050,5010452,3402
1,5007050,5012365,5315
1,5055764,5056746,982
1,5088575,5089062,487
1,5337037,5342160,5123
1,5342160,5345349,3189
1,5345432,5348199,2767
1,5432380,5434875,2495
1,5432405,5434875,2470
1,5432405,5434875,2470
1,5435362,5441654,6292
1,5525767,5532588,6821
1,5525813,5530366,4553
1,5530366,5532484,2118
1,5532484,5533261,777
1,5532484,5535167,2683
1,5532591,5533261,670
1,5534347,5542479,8132
1,5534347,5539764,5417
1,5625128,5629244,4116
1,5628133,5629244,1111
1,5629244,5633120,3876
1,5633120,5639457,6337
1,5634438,5639457,5019
1,5639457,5647876,8419
1,5639833,5647052,7219
1,5738775,5745185,6410
1,5741611,5745185,3574
1,5741876,5745185,3309
1,5746250,5748151,1901
1,5809711,5813347,3636
1,6154977,6157449,2472
1,6154977,6156685,1708
1,6154977,6157471,2494
1,6154977,6157471,2494
1,6193258,6199661,6403
1,6193271,6199040,5769
1,6198966,6200847,1881
1,6199633,6200681,1048
1,6217347,6224169,6822
1,6217347,6224169,6822
1,6217907,6224169,6262
1,6233948,6235770,1822
1,6234661,6235800,1139
1,6234661,6241519,6858
1,6234790,6241519,6729
1,6235770,6236860,1090
1,6241519,6250913,9394
1,6412119,6415309,3190
1,6412119,6412738,619
1,6532012,6534680,2668
1,6532012,6536752,4740
1,6533385,6534680,1295
1,6533913,6534680,767
1,6534733,6536937,2204
1,6534733,6536855,2122
1,6534733,6542353,7620
1,6536855,6542402,5547
1,6536937,6546117,9180
1,6536937,6542353,5416
1,6542423,6546351,3928
1,6922110,6923696,1586
1,6922110,6923837,1727
1,6922413,6923802,1389
1,6923719,6926897,3178
1,6923837,6926541,2704
1,7070904,7079762,8858
1,7070904,7072547,1643
1,7072547,7079738,7191
1,7072547,7077207,4660
1,7079762,7084877,5115
1,7079762,7086138,6376
1,7079884,7086138,6254
1,7084750,7086437,1687
1,7355735,7356395,660
1,7355735,7359832,4097
1,7356395,7359832,3437
1,7356406,7359003,2597
1,7356440,7358999,2559
1,7389930,7390758,828
1,7390714,7391412,698
1,7390865,7397669,6804
1,7391420,7397140,5720
1,7391420,7395120,3700
1,7391455,7396812,5357
1,7393067,7396812,3745
1,7395105,7401017,5912
1,7395137,7400706,5569
1,7396649,7397669,1020
1,7397669,7400706,3037
1,7400706,7404694,3988
1,7400706,7404694,3988
1,7401469,7408085,6616
1,7456761,7458204,1443
1,7996742,7997897,1155
1,8019665,8024983,5318
1,8028954,8038925,9971
1,8450406,8451871,1465
1,8450434,8451871,1437
1,8451520,8455308,3788
1,8451520,8458311,6791
1,8455331,8458477,3146
1,8458378,8459890,1512
1,8538065,8540559,2494
1,8558063,8559379,1316
1,8558063,8560768,2705
1,8619802,8628074,8272
1,8619802,8623262,3460
1,8623262,8629730,6468
1,8623262,8628184,4922
1,8623262,8629730,6468
1,8623262,8623909,647
1,8623262,8631652,8390
1,8623324,8628184,4860
1,8623324,8628076,4752
1,8623324,8625680,2356
1,8623881,8625680,1799
1,8623909,8628074,4165
1,8625147,8631652,6505
1,8625147,8631652,6505
1,8625486,8625889,403
1,8626029,8628637,2608
1,8626029,8628158,2129
1,8626029,8631652,5623
1,8626069,8628075,2006
1,8626069,8628075,2006
1,8626069,8628074,2005
1,8628158,8635663,7505
1,8628184,8631652,3468
1,8628637,8631652,3015
1,8631652,8634520,2868
1,9048409,9050234,1825
1,9050277,9058500,8223
1,9123511,9125034,1523
1,9305229,9310705,5476
1,9305229,9310705,5476
1,9305295,9311849,6554
1,9305295,9311849,6554
1,9305295,9311849,6554
1,9305295,9307880,2585
1,9307880,9311849,3969
1,9396313,9397218,905
1,9432380,9437173,4793
1,9432380,9437106,4726
1,9580160,9580970,810
1,10033663,10036867,3204
1,10821217,10826220,5003
1,10842578,10846464,3886
1,10900176,10901855,1679
1,10900221,10902490,2269
1,10960811,10970083,9272
1,10960822,10969971,9149
1,10963163,10971259,8096
1,10963163,10970441,7278
1,10963163,10970468,7305
1,10963163,10970441,7278
1,10963206,10969550,6344
1,10963339,10970076,6737
1,10963339,10969529,6190
1,10963339,10970932,7593
1,10969538,10978021,8483
1,10970468,10978021,7553
1,10970468,10978021,7553
1,10970468,10978001,7533
1,10970468,10974227,3759
1,10971065,10978001,6936
1,10971065,10978001,6936
1,10971259,10978001,6742
1,10974227,10974922,695
1,10974227,10977423,3196
1,10974227,10978001,3774
1,10974227,10977230,3003
1,10978001,10982451,4450
1,10978348,10982640,4292
1,10989163,10995341,6178
1,10989264,10995341,6077
1,11991587,11993423,1836
1,12164086,12170666,6580
1,12164086,12170666,6580
1,12166135,12170532,4397
1,12166135,12170532,4397
1,12166782,12170650,3868
1,12169544,12176349,6805
1,12169708,12170650,942
1,12169708,12170650,942
